Well folks, looks like we have 539 reactions on our hands
+-------------------------------------------------+---------------+-----------------------------+--------------------+
|                   Reaction ID                   |   Reactant    |           Product           |    EGAT barrier    |
| JQQGJTHDBODIPT_to_WEOAOPULSHXPNT-XLYOFNOQVPJJNP |   OOC1CCO1    |         C1C2OC1O2.O         | 65.70709991455078  |
|        JQQGJTHDBODIPT_to_LMZBGVBKISSTKO         |   OOC1CCO1    |       OC1C[C@H](O)O1        | 72.32952117919922  |
| JQQGJTHDBODIPT_to_NGTHLWHNLJEPPD-UFHFLCQGNIYNRP |   OOC1CCO1    |   C1C2OO[C@@H]1O2.[H][H]    |  81.7847900390625  |
| JQQGJTHDBODIPT_to_IUBDIJVSWDMJLO-XLYOFNOQVPJJNP |   OOC1CCO1    |       C1OC2O[C@H]12.O       | 60.704227447509766 |
|        JQQGJTHDBODIPT_to_SUCKNXAQIMPMOC         |   OOC1CCO1    |        OC1OC[C@H]1O         | 68.40849304199219  |
| JQQGJTHDBODIPT_to_BNJDONXQWMZFOE-UFHFLCQGNIYNRP |   OOC1CCO1    |    C1OC2OO[C@H]12.[H][H]    |  98.2056884765625  |
|        IEZWOVIWXFLQTP_to_WGCNASOHLSPBMP         |     C=COO     |            O=CCO            | 33.20901107788086  |
|        IEZWOVIWXFLQTP_to_DOAMZWOPDPPKJS         |     C=COO     |         O[C@@H]1CO1         | 43.50724411010742  |
|        IEZWOVIWXFLQTP_to_NOZLREUTKGWBPY         |     C=COO     |           CC1OO1            | 58.27058029174805  |
|        IEZWOVIWXFLQTP_to_BVTJGGGYKAMDBN         |     C=COO     |           C1COO1            | 63.519561767578125 |
| IEZWOVIWXFLQTP_to_HSFWRNGVRCDJHI-MHAJPDPJQMAIIY |     C=COO     |           C#C.OO            |  76.4768295288086  |
| IEZWOVIWXFLQTP_to_MYMOFIZGZYHOMD-VGGSQFUCUMXWEO |     C=COO     |           C=C.O=O           | 94.83091735839844  |
| IEZWOVIWXFLQTP_to_UFHFLCQGNIYNRP-XTIVMLJPNCRJDY |     C=COO     |        C#COO.[H][H]         | 109.23810577392578 |
| IEZWOVIWXFLQTP_to_CCGKOQOJPYTBIH-XLYOFNOQVPJJNP |     C=COO     |           C=C=O.O           | 48.09207534790039  |
|        IEZWOVIWXFLQTP_to_LONYOMRPNGXPGP         |     C=COO     |           C=C(O)O           | 76.37765502929688  |
| IEZWOVIWXFLQTP_to_DRACBBLWNRFTPS-UFHFLCQGNIYNRP |     C=COO     |       C=C1OO1.[H][H]        |  84.2685317993164  |
|        IEZWOVIWXFLQTP_to_JMCRDEBJJPRTPV         |     C=COO     |           O/C=C\O           | 71.95867919921875  |
| IEZWOVIWXFLQTP_to_LKPDARIQMYHGOW-UFHFLCQGNIYNRP |     C=COO     |        [H][H].c1coo1        | 94.48616790771484  |
|        WSMYVTOQOOLQHP_to_GFJVXXWOPWLRNU         |    O=CCC=O    |           C=COC=O           | 47.83971405029297  |
|        WSMYVTOQOOLQHP_to_IWYRWIUNAVNFPE         |    O=CCC=O    |          O=CC1CO1           | 90.05745697021484  |
| WSMYVTOQOOLQHP_to_CCGKOQOJPYTBIH-WSFSSNUMVMOOMR |    O=CCC=O    |          C=C=O.C=O          |    65.462890625    |
|        WSMYVTOQOOLQHP_to_AIJULSRZWUXGPQ         |    O=CCC=O    |          CC(=O)C=O          | 86.63674926757812  |
|        WSMYVTOQOOLQHP_to_GMSHJLUJOABYOM         |    O=CCC=O    |          O=C/C=C/O          | 68.90728759765625  |
| WSMYVTOQOOLQHP_to_BJZRPPPHLTTXMO-UFHFLCQGNIYNRP |    O=CCC=O    |       O=C=CC=O.[H][H]       | 79.92356872558594  |
|        WSMYVTOQOOLQHP_to_UCZMEHHAPUYKNJ         |    O=CCC=O    |       C1C2OO[C@@H]12        | 126.27384948730469 |
|        WSMYVTOQOOLQHP_to_WEOAOPULSHXPNT         |    O=CCC=O    |          C1C2OC1O2          | 75.83851623535156  |
|        WSMYVTOQOOLQHP_to_FQAPTELXEUWBBK         |    O=CCC=O    |        O=C1C[C@@H]1O        | 100.64244842529297 |
|        WSMYVTOQOOLQHP_to_VEZXCJBBBCKRPI         |    O=CCC=O    |          O=C1CCO1           | 75.22510528564453  |
| WSMYVTOQOOLQHP_to_MPGMMGPFTLLOGN-UFHFLCQGNIYNRP |    O=CCC=O    |      O=C1CC1=O.[H][H]       | 100.0748062133789  |
|        RGNLCYKNGPYALI_to_YAFICCFLXARRNU         |   O=CCC(O)O   |         OC(O)C1CO1          | 91.75080108642578  |
|        RGNLCYKNGPYALI_to_TUHFIVHHNIWHQM         |   O=CCC(O)O   |          C=COC(O)O          | 72.18113708496094  |
|        RGNLCYKNGPYALI_to_UOQFZGVGGMHGEE         |   O=CCC(O)O   |         CC(=O)C(O)O         | 106.26113891601562 |
| RGNLCYKNGPYALI_to_CCGKOQOJPYTBIH-CKFGINPQOCXMAZ |   O=CCC(O)O   |          C=C=O.OCO          | 81.40214538574219  |
| RGNLCYKNGPYALI_to_BDAGIHXWWSANSR-IKHGUXGNUITLKF |   O=CCC(O)O   |          CC=O.O=CO          |  70.8843765258789  |
|        RGNLCYKNGPYALI_to_MQZTXKZTLDDYNK         |   O=CCC(O)O   |           O=CCOCO           | 127.09024047851562 |
| RGNLCYKNGPYALI_to_BDAGIHXWWSANSR-IMROMDMJAWUWLK |   O=CCC(O)O   |          C=CO.O=CO          | 56.142086029052734 |
|        RGNLCYKNGPYALI_to_MNQZXJOMYWMBOU         |   O=CCC(O)O   |       O=C[C@@H](O)CO        |  97.265380859375   |
| RGNLCYKNGPYALI_to_GMSHJLUJOABYOM-XLYOFNOQVPJJNP |   O=CCC(O)O   |         O.O=C/C=C/O         | 60.696983337402344 |
|        RGNLCYKNGPYALI_to_YKZHDJKJFXCGCU         |   O=CCC(O)O   |        OOC1C[C@@H]1O        | 114.88128662109375 |
|        RGNLCYKNGPYALI_to_LMZBGVBKISSTKO         |   O=CCC(O)O   |       OC1C[C@H](O)O1        | 72.50482177734375  |
| RGNLCYKNGPYALI_to_FQAPTELXEUWBBK-XLYOFNOQVPJJNP |   O=CCC(O)O   |       O.O=C1C[C@@H]1O       | 90.68305969238281  |
|        RGNLCYKNGPYALI_to_ALRHLSYJTWAHJZ         |   O=CCC(O)O   |          O=C(O)CCO          | 72.72423553466797  |
| RGNLCYKNGPYALI_to_WSMYVTOQOOLQHP-XLYOFNOQVPJJNP |   O=CCC(O)O   |          O.O=CCC=O          | 45.59038162231445  |
|        RGNLCYKNGPYALI_to_XSASRUDTFFBDDK         |   O=CCC(O)O   |           O=CCCOO           | 130.64645385742188 |
| RGNLCYKNGPYALI_to_LONYOMRPNGXPGP-WSFSSNUMVMOOMR |   O=CCC(O)O   |         C=C(O)O.C=O         | 70.11326599121094  |
|        RGNLCYKNGPYALI_to_CNPMSUPIRHIVPC         |   O=CCC(O)O   |         CC(O)(O)C=O         | 85.23299407958984  |
| RGNLCYKNGPYALI_to_NCTDTKHCTAWTHU-UFHFLCQGNIYNRP |   O=CCC(O)O   |      O=CC=C(O)O.[H][H]      | 106.01095581054688 |
|        RGNLCYKNGPYALI_to_DPAUIBRBGMIMLP         |   O=CCC(O)O   |         OC1CC1(O)O          | 92.49370574951172  |
|        RGNLCYKNGPYALI_to_MOKACWHZOSFWEI         |   O=CCC(O)O   |         OC1(O)CCO1          | 92.64933013916016  |
| RGNLCYKNGPYALI_to_RYSGESCXXMRILP-UFHFLCQGNIYNRP |   O=CCC(O)O   |     O=C1CC1(O)O.[H][H]      | 104.07305908203125 |
| RGNLCYKNGPYALI_to_OAKURXIZZOAYBC-UFHFLCQGNIYNRP |   O=CCC(O)O   |      O=CCC(=O)O.[H][H]      | 75.82654571533203  |
| RGNLCYKNGPYALI_to_DOAMZWOPDPPKJS-WSFSSNUMVMOOMR |   O=CCC(O)O   |       C=O.O[C@@H]1CO1       | 99.21139526367188  |
|        RGNLCYKNGPYALI_to_JRUKHAIVAGVYRP         |   O=CCC(O)O   |       C[C@@H](O)OC=O        | 64.15217590332031  |
|        RGNLCYKNGPYALI_to_DNEPOKDMYAKLLN         |   O=CCC(O)O   |         O/C=C/C(O)O         | 58.27592468261719  |
| RGNLCYKNGPYALI_to_GPKMMINCBXDDSX-UFHFLCQGNIYNRP |   O=CCC(O)O   |      O=C=CC(O)O.[H][H]      | 73.41954040527344  |
| RGNLCYKNGPYALI_to_UFHFLCQGNIYNRP-URQJYCMMYPTYSF |   O=CCC(O)O   | O=C[C@@H]1O[C@@H]1O.[H][H]  | 101.63550567626953 |
|        RGNLCYKNGPYALI_to_KYKDRUWGNWYQSD         |   O=CCC(O)O   |        O[C@@H]1CCOO1        | 121.74188995361328 |
