zip_path,reactant_metal_oxidation_states,product_metal_oxidation_states
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C9CP00670B/c9cp00670b1/82_0_2.zip,Mo0:2,Mo0:2
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C9CP00670B/c9cp00670b1/110_0_2.zip,Mo0:3,Mo0:5
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C9CP00670B/c9cp00670b1/12_0_1.zip,Mo0:2,Mo0:2
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C9CP00670B/c9cp00670b1/141_0_1.zip,Mo0:3,Mo0:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C9CP00670B/c9cp00670b1/149_0_2.zip,Mo0:5,Mo0:5
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acs.inorgchem.2c01967/dme.imi.irc.trj/34_Coordinates_from_ORCA-job_localscratch_gibacic.295_0_1.zip,Mo20:6,Mo20:6
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acs.jctc.3c00913/ct3c00913_si_001/450_TS-074-I_0_2.zip,Mo19:3,Mo19:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acs.jctc.3c00913/ct3c00913_si_001/1605_TS-312-G_0_2.zip,Mo23:4,Mo23:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D4QO00874J/d4qo00874j1/13_0_1.zip,Hf38:3,Hf38:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D4QO00874J/d4qo00874j1/06_0_1.zip,Hf38:4,Hf38:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D4QO00874J/d4qo00874j1/11_0_1.zip,Hf38:4,Hf38:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D4QO00874J/d4qo00874j1/20_0_1.zip,Hf37:4,Hf37:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D4QO00874J/d4qo00874j1/07_0_1.zip,Hf38:4,Hf38:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acs.chemmater.3c02836/cm3c02836_si_001/05_0_1.zip,Hf0:4,Hf0:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/jp401443x/jp401443x_si_001/299_0_1.zip,Hf8:4,Hf8:4
